Plate,Well,Sample,Target,CT,Quantity,log10Q
14,C5,D Stand,D,29.98357201,4000,3.602059991
14,C6,D Stand,D,30.09998703,4000,3.602059991
15,C5,D Stand,D,30.57310486,4000,3.602059991
15,C6,D Stand,D,30.3001709,4000,3.602059991
16,C5,D Stand,D,29.82075119,4000,3.602059991
16,C6,D Stand,D,29.43047333,4000,3.602059991
17,C5,D Stand,D,30.86650085,4000,3.602059991
17,C6,D Stand,D,29.92285538,4000,3.602059991
18,C5,D Stand,D,29.59267998,4000,3.602059991
18,C6,D Stand,D,28.43845177,4000,3.602059991
19,C5,D Stand,D,29.25196648,4000,3.602059991
19,C6,D Stand,D,30.23708725,4000,3.602059991
20,C5,D Stand,D,28.56246567,4000,3.602059991
20,C6,D Stand,D,29.39795685,4000,3.602059991
21,C5,D Stand,D,28.04575157,4000,3.602059991
21,C6,D Stand,D,,4000,3.602059991
22,C5,D Stand,D,28.86590958,4000,3.602059991
22,C6,D Stand,D,29.3074646,4000,3.602059991
23,C5,D Stand,D,28.7442627,4000,3.602059991
23,C6,D Stand,D,28.90332031,4000,3.602059991
24,C5,D Stand,D,28.64442635,4000,3.602059991
24,C6,D Stand,D,27.85809898,4000,3.602059991
25,C5,D Stand,D,28.84045792,4000,3.602059991
25,C6,D Stand,D,29.56721878,4000,3.602059991
26,C5,D Stand,D,29.50225258,4000,3.602059991
26,C6,D Stand,D,29.7101593,4000,3.602059991
27,C5,D Stand,D,29.49511337,4000,3.602059991
27,C6,D Stand,D,29.25909042,4000,3.602059991
28,C5,D Stand,D,28.45393944,4000,3.602059991
28,C6,D Stand,D,29.93922234,4000,3.602059991
29,C5,D Stand,D,28.56373024,4000,3.602059991
29,C6,D Stand,D,29.15561676,4000,3.602059991
30,C5,D Stand,D,28.91172791,4000,3.602059991
30,C6,D Stand,D,29.32659531,4000,3.602059991
31,C5,D Stand,D,29.91263771,4000,3.602059991
31,C6,D Stand,D,28.77215195,4000,3.602059991
32,C5,D Stand,D,29.93050385,4000,3.602059991
32,C6,D Stand,D,28.88316345,4000,3.602059991
33,C5,D Stand,D,28.43124771,4000,3.602059991
33,C6,D Stand,D,28.96650696,4000,3.602059991
34,C5,D Stand,D,28.98359871,4000,3.602059991
34,C6,D Stand,D,29.89328003,4000,3.602059991
35,C5,D Stand,D,29.66328049,4000,3.602059991
35,C6,D Stand,D,29.32533836,4000,3.602059991
36,C5,D Stand,D,29.33335304,4000,3.602059991
36,C6,D Stand,D,28.79533195,4000,3.602059991
38,C5,D Stand,D,28.52152634,4000,3.602059991
38,C6,D Stand,D,29.02933311,4000,3.602059991
39,C5,D Stand,D,30.08095741,4000,3.602059991
39,C6,D Stand,D,28.99537659,4000,3.602059991
40,C5,D Stand,D,28.70841217,4000,3.602059991
40,C6,D Stand,D,29.22911263,4000,3.602059991
37,C5,D Stand,D,28.48693848,4000,3.602059991
37,C6,D Stand,D,28.82152557,4000,3.602059991
42,C7,D Stand,D,28.67329407,4000,3.602059991
42,C8,D Stand,D,28.8640995,4000,3.602059991
43,C5,D Stand,D,28.15388489,4000,3.602059991
43,C6,D Stand,D,29.2464695,4000,3.602059991
44,C5,D Stand,D,28.941576,4000,3.602059991
44,C6,D Stand,D,29.23395157,4000,3.602059991
2,E1,A Stand,A,,16000,4.204119983
2,E2,A Stand,A,30.64224243,16000,4.204119983
3,E1,A Stand,A,29.90023422,16000,4.204119983
3,E2,A Stand,A,,16000,4.204119983
4,D1,A Stand,A,30.55049515,16000,4.204119983
4,D2,A Stand,A,29.82636833,16000,4.204119983
5,D1,A Stand,A,,16000,4.204119983
5,D2,A Stand,A,29.37345505,16000,4.204119983
6,D1,A Stand,A,,16000,4.204119983
6,D2,A Stand,A,29.40873909,16000,4.204119983
7,D1,A Stand,A,30.11552238,16000,4.204119983
7,D2,A Stand,A,29.89269257,16000,4.204119983
8,D1,A Stand,A,29.66972351,16000,4.204119983
8,D2,A Stand,A,29.27435303,16000,4.204119983
9,D1,A Stand,A,31.20552063,16000,4.204119983
9,D2,A Stand,A,29.99470901,16000,4.204119983
10,D1,A Stand,A,30.01676178,16000,4.204119983
10,D2,A Stand,A,29.77509308,16000,4.204119983
11,D1,A Stand,A,29.38539505,16000,4.204119983
11,D2,A Stand,A,29.67335892,16000,4.204119983
12,D1,A Stand,A,30.16043663,16000,4.204119983
12,D2,A Stand,A,29.49912071,16000,4.204119983
13,D1,A Stand,A,31.49297142,16000,4.204119983
13,D2,A Stand,A,30.46214104,16000,4.204119983
14,D1,A Stand,A,30.82767487,16000,4.204119983
14,D2,A Stand,A,30.60339546,16000,4.204119983
15,D1,A Stand,A,30.85836792,16000,4.204119983
15,D2,A Stand,A,29.77537918,16000,4.204119983
16,D1,A Stand,A,,16000,4.204119983
16,D2,A Stand,A,30.33539009,16000,4.204119983
17,D1,A Stand,A,31.49660683,16000,4.204119983
17,D2,A Stand,A,30.88253975,16000,4.204119983
18,D1,A Stand,A,31.0484848,16000,4.204119983
18,D2,A Stand,A,29.82087708,16000,4.204119983
19,D1,A Stand,A,31.01257706,16000,4.204119983
19,D2,A Stand,A,29.40741158,16000,4.204119983
